"ITAG","cluster","AGI","gene_name"
"Solyc03g059190",8,"AT3G59710","short-chain dehydrogenase/reductase (SDR) family protein; similar to short-chain dehydrogenase/reductase (SDR) family protein [Arabidopsis thaliana] (TAIR:AT5G51030.1); similar to putative short-chain hydrogenase/reductase [Musa acuminata] (GB:AAR96014.1); contains InterPro domain Short-chain dehydrogenase/reductase SDR; (InterPro:IPR002198); contains InterPro domain Glucose/ribitol dehydrogenase; (InterPro:IPR002347)"
"Solyc03g059200",2,NA,NA
"Solyc03g059235",12,NA,NA
"Solyc03g059260",32,"AT3G57680","peptidase S41 family protein; similar to C-terminal processing protease, putative [Arabidopsis thaliana] (TAIR:AT4G17740.2); similar to carboxyl-terminal processing protease [Nostoc sp. PCC 7120] (GB:NP_487460.1); similar to Os06g0318600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057504.1); contains InterPro domain PDZ/DHR/GLGF; (InterPro:IPR001478); contains InterPro domain Peptidase S41; (InterPro:IPR005151); contains InterPro domain Peptidase S41A, C-terminal protease; (InterPro:IPR004447)"
"Solyc03g059270",34,NA,NA
"Solyc03g059275",17,NA,NA
"Solyc03g059316",12,NA,NA
"Solyc03g059395",12,NA,NA
"Solyc03g059490",1,"AT3G02130","leucine-rich repeat transmembrane protein kinase, putative; similar to RPK1 (RECEPTOR-LIKE PROTEIN KINASE 1), kinase [Arabidopsis thaliana] (TAIR:AT1G69270.1); similar to leucine-rich repeat-containing protein kinase family protein [Musa acuminata] (GB:ABF72006.1); similar to Os07g0602700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001060207.1); similar to putative protein kinase [Sorghum bicolor] (GB:AAM47583.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, typical subtype; (InterPro:IPR003591); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)"
"Solyc03g059505",17,NA,NA
"Solyc03g060513",5,NA,NA
"Solyc03g060517",17,NA,NA
"Solyc03g061595",8,NA,NA
"Solyc03g061655",12,NA,NA
"Solyc03g062660",17,"AT5G06940","leucine-rich repeat family protein; similar to HSL1 (HAESA-LIKE 1), ATP binding / kinase/ protein serine/threonine kinase [Arabidopsis thaliana] (TAIR:AT1G28440.1); similar to H0305E08.2 [Oryza sativa (indica cultivar-group)] (GB:CAH67431.1); similar to Os04g0472500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053062.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"
"Solyc03g062837",12,NA,NA
"Solyc03g062970",18,NA,NA
"Solyc03g063040",26,"AT2G39130","amino acid transporter family protein; similar to amino acid transporter family protein [Arabidopsis thaliana] (TAIR:AT3G54830.1); similar to Os02g0101000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001045585.1); similar to Amino acid/polyamine transporter II [Medicago truncatula] (GB:ABE87832.1); contains InterPro domain Amino acid/polyamine transporter II; (InterPro:IPR002422); contains InterPro domain Amino acid transporter, transmembrane; (InterPro:IPR013057)"
"Solyc03g063090",25,NA,NA
"Solyc03g063140",28,"AT1G65620","required for formation of a symmetric flat leaf lamina, encodes a member of a family of proteins characterized by cysteine repeats and a leucine zipper; involved in KNOX gene regulation.   Acts together with ASL1 in proximal-distal symmetry determination."
"Solyc03g063150",14,"AT1G55570","SKS12 (SKU5 Similar 12); copper ion binding / oxidoreductase; similar to SKS14 (SKU5 Similar 14), copper ion binding / oxidoreductase [Arabidopsis thaliana] (TAIR:AT1G55560.1); similar to SKS13 (SKU5 Similar 13), copper ion binding / oxidoreductase [Arabidopsis thaliana] (TAIR:AT3G13400.1); similar to SKS11 (SKU5 Similar 11), copper ion binding / oxidoreductase [Arabidopsis thaliana] (TAIR:AT3G13390.1); similar to L-ascorbate oxidase homolog precursor (Ascorbase) (GB:Q00624); similar to Bplo [Brassica napus] (GB:CAA47177.1); similar to Bplo [Brassica napus] (GB:CAA47178.1); contains InterPro domain Cupredoxin; (InterPro:IPR008972); contains InterPro domain Multicopper oxidase, type 3; (InterPro:IPR011707); contains InterPro domain Multicopper oxidase, type 2; (InterPro:IPR011706); contains InterPro domain Multicopper oxidase, type 1; (InterPro:IPR001117)"
"Solyc03g063160",14,NA,NA
"Solyc03g063166",17,NA,NA
"Solyc03g063190",17,NA,NA
"Solyc03g063240",2,"AT3G03890","FMN binding; similar to FMN binding [Arabidopsis thaliana] (TAIR:AT3G21140.1); similar to root border cell-specific protein [Pisum sativum] (GB:AAF61443.1); contains InterPro domain Pyridoxamine 5&apos; (InterPro:IPR011576); contains InterPro domain FMN-binding split barrel; (InterPro:IPR009002)"
"Solyc03g063260",25,NA,NA
"Solyc03g063305",18,NA,NA
"Solyc03g063340",28,"AT2G42120","DNA polymerase delta small subunit-related; Identical to DNA polymerase delta small subunit (EC 2.7.7.7) (POLD2) [Arabidopsis Thaliana] (GB:O48520); similar to Os03g0128500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001048841.1); similar to unnamed protein product [Oryza sativa (japonica cultivar-group)] (GB:BAA85393.1); contains InterPro domain DNA polymerase epsilon subunit B; (InterPro:IPR007185)"
"Solyc03g063380",12,NA,NA
"Solyc03g063390",1,NA,NA
"Solyc03g063640",25,NA,NA
"Solyc03g063730",24,"AT1G33110","MATE efflux family protein; similar to MATE efflux family protein [Arabidopsis thaliana] (TAIR:AT1G33080.1); similar to MATE efflux family protein [Arabidopsis thaliana] (TAIR:AT1G33090.1); similar to MATE efflux family protein [Arabidopsis thaliana] (TAIR:AT1G33100.1); similar to Multi antimicrobial extrusion protein MatE [Medicago truncatula] (GB:ABE91543.1); contains InterPro domain Multi antimicrobial extrusion protein MatE; (InterPro:IPR002528)"
"Solyc03g063805",3,NA,NA
"Solyc03g064010",15,"AT3G57830","leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat family protein [Arabidopsis thaliana] (TAIR:AT2G42290.1); similar to Os08g0506400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062188.1); similar to Leucine Rich Repeat, putative [Medicago truncatula] (GB:ABE91521.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"
"Solyc03g065110",17,NA,NA
"Solyc03g071507",12,NA,NA
"Solyc03g071533",25,NA,NA
"Solyc03g071650",25,NA,NA
"Solyc03g071690",33,"AT3G10520","class 2 non-symbiotic hemoglobin"
"Solyc03g071857",7,NA,NA
"Solyc03g077910",8,"AT5G39990","glycosyltransferase family 14 protein / core-2/I-branching enzyme family protein; similar to glycosyltransferase family 14 protein / core-2/I-branching enzyme family protein [Arabidopsis thaliana] (TAIR:AT5G15050.1); similar to BGGP Beta-1-3-galactosyl-O-glycosyl-glycoprotein [Ae (GB:CAH05144.1); similar to Os12g0639700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001067391.1); contains InterPro domain Transglutaminase, C-terminal; (InterPro:IPR008958); contains InterPro domain Glycosyl transferase, family 14; (InterPro:IPR003406)"
"Solyc03g078025",17,NA,NA
"Solyc03g078070",26,NA,NA
"Solyc03g078075",12,NA,NA
"Solyc03g078090",5,"AT5G09760","pectinesterase family protein; similar to pectinesterase family protein [Arabidopsis thaliana] (TAIR:AT5G64640.1); similar to 52O08_4 [Brassica rapa subsp. pekinensis] (GB:AAZ67549.1); contains InterPro domain Virulence factor, pectin lyase fold; (InterPro:IPR011050); contains InterPro domain Plant invertase/pectin methylesterase inhibitor; (InterPro:IPR007186); contains InterPro domain Pectinesterase; (InterPro:IPR000070); contains InterPro domain Pectinesterase inhibitor; (InterPro:IPR006501)"
"Solyc03g078100",5,"AT5G09760","pectinesterase family protein; similar to pectinesterase family protein [Arabidopsis thaliana] (TAIR:AT5G64640.1); similar to 52O08_4 [Brassica rapa subsp. pekinensis] (GB:AAZ67549.1); contains InterPro domain Virulence factor, pectin lyase fold; (InterPro:IPR011050); contains InterPro domain Plant invertase/pectin methylesterase inhibitor; (InterPro:IPR007186); contains InterPro domain Pectinesterase; (InterPro:IPR000070); contains InterPro domain Pectinesterase inhibitor; (InterPro:IPR006501)"
"Solyc03g078130",5,NA,NA
"Solyc03g078140",12,NA,NA
"Solyc03g078150",12,"AT2G41190","amino acid transporter family protein; similar to amino acid transporter family protein [Arabidopsis thaliana] (TAIR:AT2G39130.1); similar to Amino acid/polyamine transporter II [Medicago truncatula] (GB:ABE77592.1); contains InterPro domain Amino acid/polyamine transporter II; (InterPro:IPR002422); contains InterPro domain Amino acid transporter, transmembrane; (InterPro:IPR013057)"
"Solyc03g078175",12,NA,NA
"Solyc03g078230",5,"AT1G47570","protein binding / zinc ion binding; similar to Os11g0175500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001065879.1); similar to At1g47570 [Oryza sativa (japonica cultivar-group)] (GB:AAX95796.1); contains InterPro domain Zinc finger, RING-type; (InterPro:IPR001841)"
"Solyc03g078243",12,NA,NA
"Solyc03g078247",5,NA,NA
"Solyc03g078280",7,"AT3G53260","Encodes phenylalanine lyase."
"Solyc03g078360",29,NA,NA
"Solyc03g078385",5,NA,NA
"Solyc03g078403",18,NA,NA
"Solyc03g078405",11,NA,NA
"Solyc03g078420",12,NA,NA
"Solyc03g078425",12,NA,NA
"Solyc03g078437",12,NA,NA
"Solyc03g078490",24,"AT1G22340","UDP-glucoronosyl/UDP-glucosyl transferase family protein; similar to UDP-glucoronosyl/UDP-glucosyl transferase family protein [Arabidopsis thaliana] (TAIR:AT1G22360.1); similar to transcription factor/ transferase, transferring glycosyl groups [Arabidopsis thaliana] (TAIR:AT1G22380.1); similar to UGT85A1 (UDP-glucosyl transferase 85A1), UDP-glycosyltransferase/ transferase, transferring glycosyl groups / transferase, transferring hexosyl groups [Arabidopsis thaliana] (TAIR:AT1G22400.1); similar to glycosyltransferase NTGT5b [Nicotiana tabacum] (GB:BAD93690.1); contains InterPro domain UDP-glucuronosyl/UDP-glucosyltransferase; (InterPro:IPR002213)"
"Solyc03g078495",5,NA,NA
"Solyc03g078500",17,NA,NA
"Solyc03g078515",17,NA,NA
"Solyc03g078535",5,NA,NA
"Solyc03g078640",24,NA,NA
"Solyc03g078650",28,"AT5G05840","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G55720.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:AAP06886.1); similar to Os03g0267500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049665.1); contains InterPro domain Protein of unknown function DUF620; (InterPro:IPR006873)"
"Solyc03g078710",24,NA,NA
"Solyc03g078780",12,"AT3G11340","UDP-glucoronosyl/UDP-glucosyl transferase family protein; similar to UGT76C2 (UDP-glucosyl transferase 76C2), UDP-glycosyltransferase/ transferase, transferring glycosyl groups [Arabidopsis thaliana] (TAIR:AT5G05860.1); similar to UDP-glucose: chalcononaringenin 2'-O-glucosyltransferase [Dianthus caryophyllus] (GB:BAD52007.1); contains InterPro domain UDP-glucuronosyl/UDP-glucosyltransferase; (InterPro:IPR002213)"
"Solyc03g078800",6,NA,NA
"Solyc03g078810",6,NA,NA
"Solyc03g078813",11,NA,NA
"Solyc03g078817",5,NA,NA
"Solyc03g079903",5,NA,NA
"Solyc03g079970",10,"AT3G49550","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G24610.1); similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABB47870.1)"
"Solyc03g079980",10,"AT5G24600","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G18215.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:BAC55679.1); similar to Os02g0292800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001046597.1); similar to Os08g0153900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001061011.1); contains InterPro domain Protein of unknown function DUF599; (InterPro:IPR006747)"
"Solyc03g080000",10,"AT5G24600","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G18215.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:BAC55679.1); similar to Os02g0292800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001046597.1); similar to Os08g0153900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001061011.1); contains InterPro domain Protein of unknown function DUF599; (InterPro:IPR006747)"
"Solyc03g080030",10,NA,NA
"Solyc03g080060",33,NA,NA
"Solyc03g080080",32,"AT5G54130","calcium ion binding; similar to endonuclease/exonuclease/phosphatase family protein / calcium-binding EF hand family protein [Arabidopsis thaliana] (TAIR:AT1G02270.1); similar to Calcium-binding EF-hand; Endonuclease/exonuclease/phosphatase [Medicago truncatula] (GB:ABE85174.1); contains InterPro domain EF-Hand type; (InterPro:IPR011992); contains InterPro domain Calcium-binding EF-hand; (InterPro:IPR002048); contains InterPro domain Endonuclease/exonuclease/phosphatase; (InterPro:IPR005135)"
"Solyc03g080100",35,NA,NA
"Solyc03g080110",17,NA,NA
"Solyc03g080150",24,"AT1G05260","Encodes a cold-inducible cationic peroxidase that is involved in the stress response. In response to low temperature, RCI3 transcripts accumulate in the aerial part and in roots of etiolated seedlings but only in roots of light-grown seedlings."
"Solyc03g080180",24,"AT5G54160","A caffeic acid/5-hydroxyferulic acid O-methyltransferase. Interacts with 14-4-3 proteins in yeast 2 hybrid assay.  AtOMT1 (At5g54160) encodes a flavonol 3’-O-methyltransferase that is highly active towards quercetin and myricetin. The substrate specificity identifies the enzyme as flavonol 3’-methyltransferase which replaces the former annotation of the gene to encode a caffeic acid/5-hydroxyferulic acid O-methyltransferase"
"Solyc03g081230",35,"AT5G53730","harpin-induced family protein / HIN1 family protein / harpin-responsive family protein; similar to harpin-induced family protein / HIN1 family protein / harpin-responsive family protein [Arabidopsis thaliana] (TAIR:AT3G44220.1); similar to Hairpin-induced family protein [Ipomoea nil] (GB:BAE94402.1); contains InterPro domain Harpin-induced 1; (InterPro:IPR010847)"
"Solyc03g081260",35,"AT1G32960","subtilase family protein; similar to subtilase family protein [Arabidopsis thaliana] (TAIR:AT1G32950.1); similar to subtilase family protein [Arabidopsis thaliana] (TAIR:AT4G10540.1); similar to subtilase family protein [Arabidopsis thaliana] (TAIR:AT1G32940.1); similar to Os09g0530800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063751.1); similar to Protease-associated PA; Proteinase inhibitor I9, subtilisin propeptide [Medicago truncatula] (GB:ABE90461.1); contains InterPro domain Protease-associated PA; (InterPro:IPR003137); contains InterPro domain Peptidase S8 and S53, subtilisin, kexin, sedolisin; (InterPro:IPR000209); contains InterPro domain Proteinase inhibitor I9, subtilisin propeptide; (InterPro:IPR010259); contains InterPro domain Proteinase inhibitor, propeptide; (InterPro:IPR009020)"
"Solyc03g081290",17,NA,NA
"Solyc03g081335",17,NA,NA
"Solyc03g082350",3,NA,NA
"Solyc03g082410",10,NA,NA
"Solyc03g082420",23,"AT4G27670","chloroplast located small heat shock protein."
"Solyc03g082430",31,NA,NA
"Solyc03g082450",27,NA,NA
"Solyc03g082455",9,NA,NA
"Solyc03g082470",9,NA,NA
"Solyc03g082510",18,"AT4G00880","auxin-responsive family protein; similar to auxin-responsive family protein [Arabidopsis thaliana] (TAIR:AT2G46690.1); similar to Auxin responsive SAUR protein [Medicago truncatula] (GB:ABE93517.1); contains InterPro domain Auxin responsive SAUR protein; (InterPro:IPR003676)"
"Solyc03g082515",12,NA,NA
"Solyc03g082520",18,NA,NA
"Solyc03g082530",18,NA,NA
"Solyc03g082540",23,NA,NA
"Solyc03g082550",18,NA,NA
"Solyc03g082620",33,"AT5G53550","YSL3 (YELLOW STRIPE LIKE 3); oligopeptide transporter; similar to YSL2 (YELLOW STRIPE LIKE 2), oligopeptide transporter [Arabidopsis thaliana] (TAIR:AT5G24380.1); similar to YSL1 (YELLOW STRIPE LIKE 1), oligopeptide transporter [Arabidopsis thaliana] (TAIR:AT4G24120.1); similar to YSL7 (YELLOW STRIPE LIKE 7), oligopeptide transporter [Arabidopsis thaliana] (TAIR:AT1G65730.1); similar to YSL transporter 3 [Thlaspi caerulescens] (GB:ABD04075.1); similar to OPT oligopeptide transporter protein [Medicago truncatula] (GB:ABE88405.1); similar to YSL transporter 3 [Thlaspi caerulescens] (GB:ABB76763.1); contains InterPro domain Oligopeptide transporter OPT superfamily; (InterPro:IPR004813)"
"Solyc03g082640",24,"AT2G46620","AAA-type ATPase family protein; similar to AAA-type ATPase family protein [Arabidopsis thaliana] (TAIR:AT3G28580.1); similar to AAA ATPase [Medicago truncatula] (GB:ABE93512.1); contains InterPro domain AAA ATPase; (InterPro:IPR003593); contains InterPro domain AAA ATPase, central region; (InterPro:IPR003959)"
"Solyc03g082650",17,NA,NA
"Solyc03g082685",18,NA,NA
"Solyc03g082690",6,NA,NA
"Solyc03g082720",35,"AT4G27740","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G27745.1); similar to Yippee-like protein At4g27740, putative [Oryza sativa (japonica cultivar-group)] (GB:ABA98518.1); similar to Os12g0484700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001066778.1); contains InterPro domain Yippee-like protein; (InterPro:IPR004910)"
"Solyc03g082725",24,NA,NA
"Solyc03g082750",29,NA,NA
"Solyc03g082770",17,NA,NA
"Solyc03g082780",17,NA,NA
"Solyc03g082785",24,NA,NA
"Solyc03g082790",17,NA,NA
"Solyc03g083010",31,"AT5G53050","hydrolase, alpha/beta fold family protein; similar to epoxide hydrolase, putative [Arabidopsis thaliana] (TAIR:AT4G02340.1); similar to Os05g0542200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001056192.1); similar to putative hydrolase [Solanum commersonii] (GB:CAJ19277.1); similar to Os02g0299300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001046616.1); contains InterPro domain Esterase/lipase/thioesterase; (InterPro:IPR000379); contains InterPro domain Alpha/beta hydrolase fold-1; (InterPro:IPR000073); contains InterPro domain Alpha/beta hydrolase; (InterPro:IPR003089)"
"Solyc03g083090",10,"AT5G24300","SSI is a plastidial enzyme and crucial for the synthesis of normal amylopectin in the leaves of Arabidopsis. The absence of SSI results in a deficiency in the number of shorter glucans which in turn affect the formation and connection of the amylopectin clusters in starch."
"Solyc03g083120",15,NA,NA
"Solyc03g083350",1,"AT5G24240","phosphatidylinositol 3- and 4-kinase family protein / ubiquitin family protein; similar to phosphatidylinositol 3- and 4-kinase family protein / ubiquitin family protein [Arabidopsis thaliana] (TAIR:AT2G46500.2); similar to Phosphatidylinositol 3- and 4-kinase, catalytic; Ubiquitin [Medicago truncatula] (GB:ABE80823.1); contains InterPro domain Phosphatidylinositol 3- and 4-kinase, catalytic; (InterPro:IPR000403); contains InterPro domain Ubiquitin; (InterPro:IPR000626)"
"Solyc03g083385",19,NA,NA
"Solyc03g083590",28,"AT5G62310","Encodes a protein with a serine/threonine kinase domain.  There are two other closely related members in Arabidopsis. Knock-out mutation results in incomplete root hair elongation. Expression is found all organs examined but is especially strong in elongating root hairs."
"Solyc03g083650",36,NA,NA
"Solyc03g083720",24,NA,NA
"Solyc03g083770",33,"AT5G62360","invertase/pectin methylesterase inhibitor family protein; similar to invertase/pectin methylesterase inhibitor family protein / DC 1.2 homolog (FL5-2I22) [Arabidopsis thaliana] (TAIR:AT5G62350.1); similar to pectin methylesterase inhibitor isoform [Solanum phureja] (GB:ABG49144.1); contains InterPro domain Plant invertase/pectin methylesterase inhibitor; (InterPro:IPR007186); contains InterPro domain Pectinesterase inhibitor; (InterPro:IPR006501)"
"Solyc03g083880",5,NA,NA
"Solyc03g083960",32,"AT5G51460","homologous to the C-terminal part of microbial trehalose-6-phosphate phosphatases"
"Solyc03g091035",17,NA,NA
"Solyc03g093070",17,NA,NA
"Solyc03g093110",24,"AT4G25810","xyloglucan endotransglycosylase-related protein (XTR6)"
"Solyc03g093130",24,"AT4G25810","xyloglucan endotransglycosylase-related protein (XTR6)"
"Solyc03g093145",17,NA,NA
"Solyc03g093150",2,NA,NA
"Solyc03g093270",17,"AT5G62420","aldo/keto reductase family protein; similar to oxidoreductase [Arabidopsis thaliana] (TAIR:AT2G37770.2); similar to aldo/keto reductase [Fragaria x ananassa] (GB:AAV28174.1); contains InterPro domain Aldo/keto reductase; (InterPro:IPR001395)"
"Solyc03g093310",15,"AT5G07670","F-box family protein; similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT5G51380.1); similar to Os02g0658500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047636.1); similar to Os11g0641200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001068351.1); similar to Leucine Rich Repeat family protein, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABA95013.1); contains InterPro domain Cyclin-like F-box; (InterPro:IPR001810)"
"Solyc03g093330",34,"AT5G61480","leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT4G28650.1); similar to CLAVATA1 receptor kinase (CLV1) [Arabidopsis thaliana] (TAIR:AT1G08590.1); similar to BAM1 (big apical meristem 1), ATP binding / kinase/ protein serine/threonine kinase [Arabidopsis thaliana] (TAIR:AT5G65700.1); similar to putative receptor-like protein kinase 1 [Oryza sativa (japonica cultivar-group)] (GB:AAP68887.1); similar to Protein kinase; Actin-binding, actinin-type [Medicago truncatula] (GB:ABE92015.1); similar to Hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:AAO17351.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"
"Solyc03g093360",29,"AT4G39730","lipid-associated family protein; similar to lipid-associated family protein [Arabidopsis thaliana] (TAIR:AT2G22170.1); similar to dehydration stress-induced protein [Brassica napus] (GB:AAK01359.1); contains InterPro domain Lipoxygenase, LH2; (InterPro:IPR001024); contains InterPro domain Lipase/lipooxygenase, PLAT/LH2; (InterPro:IPR008976)"
"Solyc03g093380",24,NA,NA
"Solyc03g093410",34,"AT5G61520","hexose transporter, putative; Identical to Sugar transport protein 3 (Hexose transporter 3) (STP3) [Arabidopsis Thaliana] (GB:Q8L7R8;GB:Q9ZS56); similar to glucose transporter, putative [Arabidopsis thaliana] (TAIR:AT4G21480.1); similar to STP1 (SUGAR TRANSPORTER 1), carbohydrate transporter/ sugar porter [Arabidopsis thaliana] (TAIR:AT1G11260.1); similar to Hexose carrier protein HEX6 (GB:Q07423); similar to putative hexose transporter [Vitis vinifera] (GB:AAT09978.1); contains InterPro domain Sugar transporter; (InterPro:IPR003663); contains InterPro domain Sugar transporter superfamily; (InterPro:IPR005829); contains InterPro domain Major facilitator superfamily; (InterPro:IPR007114); contains InterPro domain General substrate transporter; (InterPro:IPR005828)"
"Solyc03g093430",24,"AT5G61530","small G protein family protein / RhoGAP family protein; similar to hypothetical protein LOC550478 [Danio rerio] (GB:NP_001017781.1); similar to Os07g0486500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001059663.1); contains InterPro domain Rho GTPase activation protein; (InterPro:IPR008936); contains InterPro domain RhoGAP; (InterPro:IPR000198)"
"Solyc03g093647",12,NA,NA
"Solyc03g093710",4,NA,NA
"Solyc03g093715",3,NA,NA
"Solyc03g093720",12,NA,NA
"Solyc03g093730",3,NA,NA
"Solyc03g093735",4,NA,NA
"Solyc03g093740",4,NA,NA
"Solyc03g093750",3,NA,NA
"Solyc03g093760",3,NA,NA
"Solyc03g093770",4,NA,NA
"Solyc03g093780",3,NA,NA
"Solyc03g093785",5,NA,NA
"Solyc03g093790",5,"AT2G44740","CYCP4;1 (cyclin p4;1); cyclin-dependent protein kinase; similar to CYCP4,2 (CYCLIN P4,2), cyclin-dependent protein kinase [Arabidopsis thaliana] (TAIR:AT5G61650.1); similar to PREG-like protein [Picea mariana] (GB:AAC32127.1); similar to Os10g0563900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001065406.1); similar to Os04g0544200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053459.1); contains InterPro domain Cyclin, N-terminal; (InterPro:IPR006671); contains InterPro domain Cyclin-like; (InterPro:IPR011028); contains InterPro domain Cyclin-related; (InterPro:IPR013763); contains InterPro domain Negative regulatory factor PREG; (InterPro:IPR012389)"
"Solyc03g093800",5,NA,NA
"Solyc03g093810",4,NA,NA
"Solyc03g094040",5,"AT5G51120","Encodes a homolog of the protein PABN1, a polyadenylation factor subunit."
"Solyc03g094060",2,NA,NA
"Solyc03g094070",18,NA,NA
"Solyc03g094145",12,NA,NA
"Solyc03g094160",6,"AT1G02170","Metacaspase AtMCP1b. Arginine/lysine-specific cysteine protease activity. Induces apoptosis in yeast. Contains Pfam profile PF00656: ICE-like protease (caspase) p20 domain"
"Solyc03g095310",30,"AT5G24910","member of CYP714A"
"Solyc03g095313",36,NA,NA
"Solyc03g095383",5,NA,NA
"Solyc03g095387",12,NA,NA
"Solyc03g095420",5,NA,NA
"Solyc03g095450",6,"AT5G01960","zinc finger (C3HC4-type RING finger) family protein; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G65040.3); similar to Os05g0316000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001055172.1); similar to Os01g0168400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042129.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAV32165.1); contains InterPro domain Zinc finger, RING-type; (InterPro:IPR001841)"
"Solyc03g095490",34,"AT5G58300","leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT3G08680.2); similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT5G05160.1); similar to Os01g0819100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044637.1); similar to putative receptor-like protein kinase [Oryza sativa (japonica cultivar-group)] (GB:BAB62593.1); similar to Os05g0480400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001055854.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"
"Solyc03g095787",12,NA,NA
"Solyc03g095820",17,NA,NA
"Solyc03g095925",5,NA,NA
"Solyc03g095970",24,"AT2G47140","short-chain dehydrogenase/reductase (SDR) family protein; similar to short-chain dehydrogenase/reductase (SDR) family protein [Arabidopsis thaliana] (TAIR:AT2G47130.1); similar to 3-beta hydroxysteroid dehydrogenase [Di (GB:AAV68714.1); contains InterPro domain Short-chain dehydrogenase/reductase SDR; (InterPro:IPR002198); contains InterPro domain Glucose/ribitol dehydrogenase; (InterPro:IPR002347)"
"Solyc03g095980",34,NA,NA
"Solyc03g096055",12,NA,NA
"Solyc03g096070",24,NA,NA
"Solyc03g096093",12,NA,NA
